Title;requirements
"Focus in Strategy and Innovation - ASFOC2431D";[(1.0, ['RSM393H1', 'RSM459H1', 'RSM482H1', 'RSM490H1', 'RSM493H1', 'RSM498Y1']),(1.5,['HIS267H1', 'RSM340H1', {'RSM341H1', 'RSM470H1'}, 'RSM370H1', 'RSM394H1', 'RSM438H1', 'RSM439H1', 'RSM464H1', 'RSM491H1', 'RSM494H1', 'RSM495H1', 'RSM496H1'])]
"Focus in Scientific Computing (Specialist) - ASFOC1689A";[(1.0,[{'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}]),(1.5,['CSC336H1', 'CSC436H1', 'CSC446H1', 'CSC456H1', 'CSC466H1']), (1.0,[ {'CSC317H1', 'CSC320H1', 'CSC417H1', 'CSC418H1', 'CSC419H1'}, {'CSC311H1', 'CSC411H1'}, 'CSC343H1', 'CSC384H1', {'CSC358H1', 'CSC457H1', 'CSC458H1'}])]
"Focus in Scientific Computing (Major) - ASFOC1689O";[(1.0,[{'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}]),(1.5,['CSC336H1', 'CSC436H1', 'CSC446H1', 'CSC456H1', 'CSC466H1']), (1.0,[ {'CSC317H1', 'CSC320H1', 'CSC417H1', 'CSC418H1', 'CSC419H1'}, {'CSC311H1', 'CSC411H1'}, 'CSC343H1', 'CSC384H1', {'CSC358H1', 'CSC457H1', 'CSC458H1'}])]
"Focus in Practical Chemical Analysis";[(0.5,['CHM217H1']),(0.5,['CHM317H1'])]
"Focus in Planning (Specialist) - ASFOC1667B";[(1.0,['GGR217H1', {'JGI346H1', 'JGU346H1'}]),(1.5,['GGR241H1', 'GGR259H1', 'JIG322H1', 'GGR338H1', 'GGR339H1', 'GGR343H1', 'GGR349H1', 'GGR354H1', 'GGR357H1', 'GGR359H1', 'GGR416H1', 'GGR424H1', 'GGR428H1', 'GGR433H1', 'GGR434H1', 'GGR456H1', 'GGR460H1', 'GGR493Y1'])]
"Focus in Planning (Major) - ASFOC1667A";[(1.0,['GGR217H1', {'JGI346H1', 'JGU346H1'}]),(1.5,['GGR241H1', 'GGR259H1', 'JIG322H1', 'GGR338H1', 'GGR339H1', 'GGR343H1', 'GGR349H1', 'GGR354H1', 'GGR357H1', 'GGR359H1', 'GGR416H1', 'GGR424H1', 'GGR428H1', 'GGR433H1', 'GGR434H1', 'GGR456H1', 'GGR460H1', 'GGR493Y1'])]
"Focus in Medical Anthropology (Specialist: Society, Culture and Language) - ASFOC2112B";[(0.5,['ANT205H1']),(3.0, ['ANT208H1', 'ANT345H1', 'ANT348H1', 'ANT357H1', 'ANT358H1', 'ANT435H1, ANT458H1', 'ANT460H1', 'ANT474H1', 'ANT476H1', 'JAR301H1'])]
"Focus in Medical Anthropology (Major: Society, Culture and Language) - ASFOC2112A";[(0.5,['ANT205H1']),(2.0, ['ANT208H1', 'ANT345H1', 'ANT348H1', 'ANT357H1', 'ANT358H1', 'ANT435H1, ANT458H1', 'ANT460H1', 'ANT474H1', 'ANT476H1', 'JAR301H1'])]
"Focus in Medical Anthropology (Major: General) - ASFOC1775A";[(0.5,['ANT205H1','ANT208H1']),(2.0, ['ANT345H1', 'ANT348H1', 'ANT357H1', 'ANT358H1', 'ANT435H1', 'ANT458H1', 'ANT460H1', 'ANT474H1', 'ANT476H1', 'JAR301H1'])]
"Focus in Marketing - ASFOC2431A";[(1.5, [{'RSM251H1', 'RSM350H1'}, 'RSM352H1', 'RSM353H1']),(1.0, ['RSM355H1', 'RSM358H1', 'RSM450H1', 'RSM454H1', 'RSM455H1', 'RSM456H1', 'RSM457H1', 'RSM458H1', 'RSM459H1', 'RSM470H1'])]
"Focus in Managing in Diverse Economies (UofT Global Scholar)";[(0.5,[{'ECO324H1', 'ECO367H1', 'ECO403H1', 'POL201H1', 'POL223H1'}]), (1.0,['RSM468Y1']), (1.0, ['AFR250Y1', 'AFR352H1', 'AFR353H1', 'AFR354H1', 'CAR120Y1', 'CAR220H1', 'CAR324H1', 'CAR328H1', 'CDN198H1', 'CDN335H1', 'CDN367H1', 'CDN385H1', 'ENG254H1', 'ENG270H1', 'ENG355Y1', 'ENG356H1', 'ENG367H1', 'ENG370H1', 'GGR326H1', 'GGR341H1', 'GGR428H1', 'GGR429H1', 'GGR430H1', 'HIS230H1', 'HIS231H1', 'HIS265Y1', 'HIS267H1', 'HIS293H1', 'HIS295Y1', 'HIS297Y1', 'HIS342H1', 'HIS359H1', 'HIS366H1', 'HIS369H1', 'HIS383Y1', 'INS200H1', 'POL301H1', 'POL305H1', 'POL309H1', 'POL325H1', 'POL417H1', 'POL445H1', 'POL447H1', 'POL469H1', 'RLG353H1', 'RLG365H1'])]
"Focus in Leadership in Organizations - ASFOC2431C";[(1.0, ['RSM361H1', 'RSM461H1', 'RSM462H1', 'RSM463H1', 'RSM464H1', 'RSM465H1']),(1.5,['RSM340H1', {'RSM341H1', 'RSM470H1'}, 'RSM362H1', 'RSM405H1', 'RSM466H1', 'RSM496H1'])]
"Focus in Law and History (Specialist) - ASFOC0652A";[(3.0, ['HIS101Y1', 'HIS230H1', 'HIS231H1', 'HIS283Y1', 'HIS303H1', 'HIS307H1', 'HIS308H1', 'HIS332H1', 'HIS357Y1', 'HIS379H1', 'HIS390H1', 'HIS391Y1', 'HIS397H1', 'HIS419H1', 'HIS424H1', 'HIS438H1', 'HIS443H1', 'HIS470H1', 'HIS493H1', 'JHN323H1'])]
"Focus in Law and History (Major) - ASFOC0652B";[(2.5, ['HIS101Y1', 'HIS230H1', 'HIS231H1', 'HIS283Y1', 'HIS303H1', 'HIS307H1', 'HIS308H1', 'HIS332H1', 'HIS357Y1', 'HIS379H1', 'HIS390H1', 'HIS391Y1', 'HIS397H1', 'HIS419H1', 'HIS424H1', 'HIS438H1', 'HIS443H1', 'HIS470H1', 'HIS493H1', 'JHN323H1'])]
"Focus in International Law & Human Rights (Specialist) - ASFOC1469E";[(1.0,['POL340Y1']),(1.5,['ECO320H1', 'HIS338H1', 'HIS361H1', 'HIS397H1', 'POL324H1', 'GGR419H1', 'HIS411H1', 'HIS465Y1', 'HIS470H1', 'HIS487H1', 'HIS493H1', 'POL412H1', 'POL456Y1', 'POL457Y1', 'POL469H1', 'TRN421Y1'])]
"Focus in International Law & Human Rights (Major) - ASFOC1469D";[(1.0,['POL340Y1']),(1.5,['ECO320H1', 'HIS338H1', 'HIS361H1', 'HIS397H1', 'POL324H1', 'GGR419H1', 'HIS411H1', 'HIS465Y1', 'HIS470H1', 'HIS487H1', 'HIS493H1', 'POL412H1', 'POL456Y1', 'POL457Y1', 'POL469H1', 'TRN421Y1'])]
"Focus in International Economy (Specialist) - ASFOC1469C";[(1.0,['ECO342H1','ECO341H1']), (1.5,['ECO362H1', 'ECO364H1', 'ECO365H1', 'ECO368H1', 'GGR326H1', 'POL361H1', 'POL362H1', {'GGR344H1', 'POL372H1'}, 'ECO403H1', 'ECO419H1', 'ECO459H1', 'ECO465H1', 'GGR418H1', 'GGR430H1', 'HIS417H1', 'POL411H1', 'POL435H1', 'POL477H1'])]
"Focus in International Business (UofT Global Scholar) - ASFOC2431F";[(1.5,['RSM437H1', 'RSM480H1', 'RSM490H1', 'ECO324H1', 'ECO364H1', 'ECO365H1', 'ECO419H1']),(1.0,['HIS267H1', 'RSM370H1', 'RSM461H1', 'RSM462H1', 'RSM470H1', 'RSM481H1', 'RSM491H1', 'ECO341H1', 'ECO342H1', 'ECO362H1', 'ECO403H1', 'ECO406H1', 'ECO435H1', 'ECO451H1'])]
"Focus in Human-Computer Interaction (Specialist) - ASFOC1689H";[(2.0,['CSC300H1', 'CSC301H1', 'CSC318H1', 'CSC428H1']),(1.0,['SOC100H1', 'SOC150H1', 'SOC101Y1']),(1.5, ['SOC202H1', {'SOC204H1', 'SOC200H1'}, {'SOC252H1', 'SOC254H1', 'SOC302H1'}]),(1.0, ['CSC309H1', 'CSC320H1', 'CSC321H1', 'CSC343H1', 'CSC384H1', 'CSC401H1', 'CSC404H1', 'CSC418H1', 'CSC485H1', {'CSC490H1', 'CSC491H1'}]),(1.0,['PSY100H1', {'PSY270H1', 'PSY280H1'}])]
"Focus in Green Chemistry";[(1.0,['CHM135H1', 'CHM136H1', 'CHM151Y1']),(0.5,['CHM249H1']),(1.0,['CHM310H1', 'CHM343H1'])]
"Focus in Game Design (Specialist) - ASFOC1689G";[(3.0,['CSC300H1', 'CSC301H1', 'CSC318H1', 'CSC384H1', {'CSC317H1', 'CSC417H1', 'CSC418H1', 'CSC419H1'}, 'CSC404H1'])]
"Focus in Game Design (Major) - ASFOC1689N";[(3.0,['CSC300H1', 'CSC301H1', 'CSC318H1', 'CSC384H1', {'CSC317H1', 'CSC417H1', 'CSC418H1', 'CSC419H1'}, 'CSC404H1'])]
"Focus in Financial Statement Analysis - ASFOC2431E";[(1.0,[ {'RSM220H1', 'RSM329H1'}, 'RSM429H1']), (2.0, ['RSM221H1', 'RSM323H1', 'RSM324H1', 'RSM326H1', 'RSM327H1', 'RSM328H1', 'RSM420H1', 'RSM425H1', 'RSM428H1', 'RSM470H1'])]
"Focus in Finance - ASFOC2431B";[(1.0, [{'RSM330H1', 'RSM336H1'}, 'RSM433H1', 'RSM435H1']),(1.5,['RSM329H1', 'RSM338H1', 'RSM429H1', 'RSM430H1', 'RSM432H1', 'RSM434H1', 'RSM435H1', 'RSM436H1', 'RSM437H1', 'RSM439H1'])]
"Focus in Data Science in Business";[(0.5,['CSC108H1', 'CSC148H1']),(0.5,['RSM338H1', 'RSM358H1']), (1.5, ['ECO225H1', 'ECO372H1', 'ECO374H1', 'ECO375H1', 'ECO464H1', 'ECO475H1', 'GGR274H1', 'RSM326H1', 'RSM384H1', 'RSM456H1', 'RSM470H1'])]
"Focus in Data Analytics (Specialist) - ASFOC1478A";[(0.5, ['CSC108H1', 'CSC110Y1', 'CSC148H1']), (2.0, [{'ECO225H1', 'GGR272H1'}, 'ECO372H1', 'ECO374H1', 'ECO475H1']), (2.0, ['ECO310H1', 'ECO324H1', 'ECO334H1', 'ECO336H1', 'ECO337H1', 'ECO339H1', 'ECO340H1', 'ECO353H1', 'ECO354H1', 'ECO380H1']), (0.5, ['ECO401H1', 'ECO403H1', 'ECO404H1', 'ECO418H1', 'ECO439H1', 'ECO446H1', 'ECO464H1', 'ECO466H1', 'ECO480H1', 'ECO481H1', 'ECO499H1'])]
"Focus in Data Analytics (Major) - ASFOC1478B";[(1.0, ['CSC108H1', 'CSC110Y1', 'CSC148H1']), (1.0, [{'ECO225H1', 'GGR272H1'}, 'ECO372H1']), (1.0, ['ECO310H1', 'ECO324H1', 'ECO334H1', 'ECO336H1', 'ECO337H1', 'ECO339H1', 'ECO340H1', 'ECO353H1', 'ECO354H1', 'ECO380H1']), (0.5, ['ECO401H1', 'ECO403H1', 'ECO404H1', 'ECO418H1', 'ECO439H1', 'ECO446H1', 'ECO464H1', 'ECO466H1', 'ECO480H1', 'ECO481H1', 'ECO499H1'])]
"Focus in Computer Vision (Specialist) - ASFOC1689D";[(3.0, [{'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}, 'CSC320H1', 'CSC336H1', {'CSC311H1', 'CSC411H1'}, 'CSC420H1']), (0.5, ['CSC412H1', 'CSC417H1', {'CSC317H1', 'CSC418H1'}, 'CSC419H1'])]
"Focus in Computer Vision (Major) - ASFOC1689L";[(3.0, [{'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}, 'CSC320H1', 'CSC336H1', {'CSC311H1', 'CSC411H1'}, 'CSC420H1']), (0.5, ['CSC412H1', 'CSC417H1', {'CSC317H1', 'CSC418H1'}, 'CSC419H1'])]
"Focus in Computer Systems (Specialist) - ASFOC1689F";[(1.5, ['CSC343H1','SC367H1', 'CSC469H1']),(1.0, [{'CSC358H1', 'CSC457H1'}, 'CSC443H1', 'CSC458H1']),(1.0, ['CSC324H1', 'CSC385H1', 'CSC488H1'])]
"Focus in Computational Linguistics and Natural Language Processing (Specialist) - ASFOC1689C";[(0.5,['CSC318H1']), (1.0,['CSC401H1','CSC485H1']), (0.5, ['LIN101H1', 'LIN200H1']), (1.5, ['CSC309H1', {'CSC413H1', 'CSC421H1', 'CSC321H1'}, {'CSC311H1', 'CSC411H1'}, 'CSC428H1', 'CSC486H1']), (0.5, ['PSY100H1', 'COG250Y1'])]
"Focus in Computational Linguistics and Natural Language Processing (Major) - ASFOC1689M";[(0.5,['CSC318H1']), (1.0,['CSC401H1','CSC485H1']), (0.5, ['LIN101H1', 'LIN200H1']), (1.5, ['CSC309H1', {'CSC413H1', 'CSC421H1', 'CSC321H1'}, {'CSC311H1', 'CSC411H1'}, 'CSC428H1', 'CSC486H1']), (0.5, ['PSY100H1', 'COG250Y1'])]
"Focus in Canadian Foreign & Security Relations (Specialist) - ASFOC1469B";[(1.0, ['HIS311Y1']),(1.5, ['HIS312H1', 'POL312Y1', 'HIS402H1', 'HIS405Y1', 'HIS429H1', 'HIS430H1', 'POL467H1', 'TRN409H1', 'TRN409H1', 'TRN410H1', 'TRN419Y1', 'VIC476H1'])]
"Focus in Canadian Foreign & Security Relations (Major) - ASFOC1469A";[(1.0, ['HIS311Y1']),(1.5, ['HIS312H1', 'POL312Y1', 'HIS402H1', 'HIS405Y1', 'HIS429H1', 'HIS430H1', 'POL467H1', 'TRN409H1', 'TRN409H1', 'TRN410H1', 'TRN419Y1', 'VIC476H1'])]
